mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model
0.053720951080322266,0.05967885223052956,2.5471080938975015,0.21076878857457917,1,1,uniform,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.3143371325734853,0.3191361727654469,0.3055222088835534,0.3129985047408285,0.005637904250112076,1,knn
0.008888959884643555,0.0014277523107850158,2.3721967538197837,0.0921102000181297,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.3143371325734853,0.3191361727654469,0.3055222088835534,0.3129985047408285,0.005637904250112076,1,knn
0.008092562357584635,0.0004959443174651246,0.1790603001912435,0.0043544681839607505,1,2,uniform,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.277744451109778,0.28014397120575885,0.27010804321728693,0.2759988218442746,0.0042790480870465416,14,knn
0.009957551956176758,0.00023907911670461798,0.1908885637919108,0.028186785420492605,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.277744451109778,0.28014397120575885,0.27010804321728693,0.2759988218442746,0.0042790480870465416,14,knn
0.008464495340983072,0.001357656608614604,2.2901553312937417,0.049057876026076225,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.2939412117576485,0.29994001199760045,0.2851140456182473,0.2929984231244987,0.0060892778759348565,10,knn
0.007561047871907552,0.0009560102293089336,2.27804962793986,0.019000796811627,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.3047390521895621,0.3125374925014997,0.29411764705882354,0.30379806391662845,0.007549250326152413,5,knn
0.00951369603474935,0.0015265305976841063,0.1784633000691732,0.010478616116950291,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.2555488902219556,0.26034793041391724,0.2527010804321729,0.25619930035601524,0.003155508798666395,20,knn
0.007041056950887044,0.0005126535895220091,0.18781638145446777,0.02253559982596187,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.2633473305338932,0.28074385122975404,0.26290516206482595,0.26899878127615773,0.008306980173320605,18,knn
0.008647918701171875,0.0024754046005285627,2.260554631551107,0.037090307137856396,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.29514097180563886,0.3053389322135573,0.29111644657863145,0.2971987835326092,0.005985856454268426,9,knn
0.007201989491780599,0.00020047305712947897,2.3518576622009277,0.06539755954260894,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.30353929214157166,0.3095380923815237,0.29411764705882354,0.30239834386063963,0.006346855164694693,6,knn
0.009710073471069336,0.0016372758229537966,0.2382363478342692,0.05833043080322671,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.2591481703659268,0.27834433113377327,0.26710684273709484,0.26819978141226497,0.00787481357523313,19,knn
0.008954524993896484,0.0013445993803512329,0.2053661346435547,0.016535258745995627,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.2585482903419316,0.28254349130173967,0.2737094837935174,0.27160042181239624,0.009908868892917814,17,knn
0.008389949798583984,0.0013431615030514428,2.3471486568450928,0.10815136316139262,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.2975404919016197,0.30293941211757647,0.29711884753901563,0.29919958385273726,0.0026500544120195745,8,knn
0.009314616521199545,0.0015803554648887164,2.456194798151652,0.11006960476013389,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.30353929214157166,0.3095380923815237,0.29831932773109243,0.30379890408472926,0.004583718929807545,4,knn
0.009479681650797525,0.002176960346700284,0.18319964408874512,0.005341850243029967,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.26814637072585484,0.277744451109778,0.27310924369747897,0.2730000218443706,0.003919160949655768,16,knn
0.00922099749247233,0.0011916703799965335,0.17409722010294595,0.004991533370026311,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.2705458908218356,0.28074385122975404,0.27911164465786314,0.2768004622364843,0.00447256617309243,13,knn
0.009862581888834635,0.0024834325314725676,2.2668910026550293,0.1513441934927349,9,1,uniform,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.2975404919016197,0.3047390521895621,0.3007202881152461,0.3009999440688093,0.0029454454268760884,7,knn
0.006806373596191406,0.0004302325192780216,2.2562406857808432,0.016167694025691674,9,1,distance,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.3041391721655669,0.3101379724055189,0.3055222088835534,0.30659978448487973,0.002564797323005244,3,knn
0.007895310719807943,0.0017938317960848626,0.18139958381652832,0.028044902145678355,9,2,uniform,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.27294541091781643,0.28494301139772044,0.2785114045618247,0.27879994229245386,0.004902247432579309,11,knn
0.009572188059488932,0.0014582056649915364,0.17507855097452799,0.004445052596701809,9,2,distance,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.2705458908218356,0.28434313137372524,0.28031212484994,0.27840038234850034,0.005792640805685273,12,knn
